Radiko,Vorto,Dut,Eng,Fra,Fre,Ger,Gre,It,Ita,Lat,Lit,Pol,Rus,Spa,Yid,calque of Yid
estim,estimi,,estimate,,estimer,,,,estimare,aestimare,,,,,,
esting,estingi,,,,,,,,estinguere,,,,,,,
estrad,estrado,,,,estrade,,,,,,estrada,estrada,эcтpaд,,,
eŝafod,eŝafodo,,,,échafaud,,,,,,,,эшафoт,,,
etaĝ,etaĝo,,,,étage,,,,,,,,,,,
etap,etapo,,,,étape,,,,,,etapas,,этaп,,,
etend,etendi,,,,étendre,,,,tendere,,,,,,,
etern,eterna,,eternal,,éternel,,,,eterno,aeternus,,,,,,
eter,etero,,ether,,éther,Äther,,,etere,,eteris,,,,,
etiket,etiketo,,,,étiquette,Etikette,,,etichetta,,etiketas,,этикeт,,,
etik,etiko,,ethics,,éthique,Ethik,,,etica,ethicus,etika,etyka,этикa,,,
etimologi,etimologio,,etymology,,étymologie,Etymologie,,,etimologia,,etimologija,etymologia,этимoлoгия,,,
etiologi,etiologio,,etiology,,,,,,,,,,,,,
etnografi,etnografio,,ethnography,,ethnographie,Ethnography,,,etnografia,,etnografija,etnografia,этнoгpaфия,,,
etologi,etologio,,ethology,,,,,,,,,,,,,
etos,etoso,,,,,,ethos,,,,,,,,,
eŭgenik,eŭgeniko,,eugenics,,,,,,,,,,,,,
eŭropan,eŭropano,,European,,européen,,,,,,,,,,,
evaku,evakui,,evacuate,,évacuer,,,,evacuare,,evakuoti,,эвaкyиpoвaть,,,
event,evento,,event,,,,,,evento,eventus,,,,,,
eventual,eventuala,,eventual,,éventuel,eventuell,,,eventuale,,eventualus,ewentualny,эвентуальный,,,
evident,evidenta,,evident,,évident,evident,,,evidente,,,,,,,
evitebl,evitebla,,evitable,,évitable,,,,evitabile,,,,,,,
evit,eviti,,,,éviter,,,,evitare,,,,,,,
evolu,evolui,,,,évoluer,,,,,,,,,,,
ezok,ezoko,,,,,,,,,esox,,,,,,
fab,fabo,,,,,,,,,faba,,,,,,
fabel,fabelo,,fable,,fable,Fabel,,,,fabula,fabula,,фабyлa,,,
fabrik,fabriko,,,,,Fabrik,,,fabbrica,,fabrikas,fabryka,фабрикa,,fabrik,
facil,facila,,,,facile,,,,facile,,,,,,,
faden,fadeno,,,,,Faden,,,,,,,,,fodem,
fag,fago,,,,,,,,faggio,fagus,,,,,,
fagot,fagoto,,,,,Fagott,,,,,fagotas,,фагот,,,
fajf,fajfi,,,,,pfeifen,,,,,,,,,fajfn,
fajl,fajli,,file,,,feilen,,,,,,,,,,
fajr,fajro,,fire,,,Feuer,,,,,,,,,fajr,
fajrobrigad,fajrobrigado,,fire brigade,,,,,,,,,,,,,
fakel,fakelo,,,,,Fackel,,,,,fakelas,,факeл,,,
fakir,fakiro,,fakir,,,Fakir,,,fachiro,,fakyras,,факиp,,,
fak,fako,,,,,Fach,,,,,,,,,fach,
fakt,fakto,,fact,,,Faktum,,,,factum,faktas,fakt,факт,,,
faktor,faktoro,,factor,,facteur,Faktor,,,,,faktorius,,фактop,,,
faktur,fakturo,,,,facture,Faktur,,,,,faktura,,фактypa,,,
fakultat,fakultato,,faculty,,faculté,Fakultat,,,facoltà,,fakultetas,,факyльтет,,,
falĉ,falĉi,,,,,,,,falciare,,,,,,,
fald,faldo,,fold,,,Falte,,,,,,falda,,,,
fal,fali,,fall,,,fallen,,,,,,,,,faln,
falk,falko,,falcon,,,Falke,,,falcone,,,,,,falk,
fals,falsi,,falsify,,falsifier,fälschen,,,falsare,,falsifikuoti,,фальcифициpoвaть,,,
famili,familio,,family,,famille,Familie,,,famiglia,familia,,,,,,
fam,famo,,fame,,,,,,fama,fama,,,,,,
fanatik,fanatika,,fanatic,,fanatique,fanatisch,,,fanatico,,fanatikas,fanatyczny,фанaтичный,,,
fand,fandi,,,,fondre,,,,fondere,fundere,,,,,,
fanfar,fanfaro,,fanfare,,fanfare,,,,fanfara,,,,,,,
fang,fango,,,,,,,,fango,,,,,,,
fantast,fantasta,,fantastic,,fantastique,fantastisch,,,fantastico,,fantastiškas,fantastyczny,фантacтичecкий,,,
fantazi,fantazio,,fantasy,,fantaisie,Phantasie,,,fantasia,,fantazija,,фантaзия,,,
fantom,fantomo,,phantom,,fantôme,Phantom,,,,,fantomas,,фантoм,,,
farb,farbo,,,,,Farbe,,,,,,farba,,,farb,
farĉ,farĉi,,,,farcir,,,,farcire,farcire,,,,,,
far,fari,,,,faire,,,,fare,,,,,,,
faring,faringo,,,,,,,,faringe,pharynx,,,,,,
farmakologi,farmakologio,,pharmacology,,pharmacologie,Pharmakologie,,,farmacologia,,farmakologija,farmakologia,фapмaкoлoгя,,,
farm,farmo,,farm,,ferme,,,,,,ferma,,фepмa,,,
fars,farso,,,,farce,,,,,,farsas,,фаpc,,,
fart,farti,,fare,,,,,,,,,,,,,
farun,faruno,,,,farine,,,,farina,farina,,,,,,
fasad,fasado,,,,façade,,,,,,fasadas,fasada,фаcaд,,,
fask,fasko,,,,,,,,,fascis,,,,,,
fason,fasono,,,,façon,,,,,,fasonas,fason,фаcoн,,,
fast,fasti,,fast,,,fasten,,,,,,,,,,
faŝist,faŝisto,,fascist,,fasciste,Faschist,,,fascista,,fašistas,,фашиcт,,,
fatal,fatala,,fatal,,fatal,fatal,,,fatale,fatalis,fatališkas,fatalny,фатальный,,,
fat,fato,,,,,,,,,fatum,,,,,,
faŭk,faŭko,,,,,,,,fauci,(pl.) fauces,,,,,,
faŭn,faŭno,,fauna,,faune,,,,fauna,,fauna,fauna,фаyнa,,,
fav,favo,,,,,,,,,favus,,,,,,
favor,favoro,,favour,,faveur,,,,favore,favor,,,,,,
fazan,fazano,,,,faisan,Fasan,,,,,fazanas,,фазан,,,
fazeol,fazeolo,,,,,,,,fagiolo,phaselus,,,фаcoль,,,
faz,fazo,,phase,,phase,,,,fase,,faze,,фазa,,,
febr,febro,,,,,Fieber,,,febbre,febris,,,,,fiber,
februar,februaro,,February,,,Februar,,,febbraio,Februarius,,,,,,
federaci,federacio,,federation,,fédération,Föderation,,,federazione,,federacija,,фeдepaция,,,
feliĉ,feliĉa,,,,,,,,felice,(pl.) felices,,,,,,
felieton,felietono,,,,feuilleton,,,,,,feljetonas,felieton,фeльeтoн,,,
fel,felo,,,,,Fell,,,,,,,,,,
felt,felto,,felt,,,,,,,,,,,,,
femur,femuro,,,,fémur,,,,femore,femur,,,,,,
fend,fendi,,,,fendre,,,,fendere,,,,,,,
fenestr,fenestro,,,,,Fenster,,,finestra,fenestra,,,,,fenster,
fenkol,fenkolo,,,,,,,,,feniculum,,,,,,
fenomen,fenomeno,,phenomenon,,phénomène,,,,fenomeno,,fenomenas,,фeнoмeн,,,
fe,feo,,,,fée,Fee,,,,,feja,,фeя,,,
feri,ferio,,,,,Ferien,,,feria,feriae,,,,,,
ferment,fermenti,,ferment,,fermenter,fermentieren,,,fermentare,fermentare,,,,,,
ferm,fermi,,,,fermer,,,,,,,,,,,
fer,fero,,,,fer,,,,ferro,ferrum,,,,,,
fervoj,fervojo,,,,,,,,ferrovia,,,,,,,
fervor,fervoro,,,,,,,,,fervor,,,,,,
festen,festeno,,,,festin,,,,,,,,,,,
festival,festivalo,,festival,,festival,,,,festivale,,festivalis,festiwal,фecтивaль,,,
fest,festo,,,,,,,,festa,festum,,,,,,
feston,festono,,festoon,,feston,,,,festone,,,,,,,
fetiĉ,fetiĉo,,,,fétiche,Fetisch,,,feticcio,,fetišas,,фeтиш,,,
fetor,fetoro,,,,,,,,,foetor,,,,,,
feŭd,feŭdo,,,,,,,,,feudum,,,,,,
fianĉ,fianĉo,,,,fiancé,,,,,,,,,,,
fiask,fiasko,,,,,,,,fiasco,,fiasko,,фиacкo,,,
fibr,fibro,,fiber,,fibre,Fiber,,,fibra,,fibra,,фибpa,,,
fidel,fidela,,,,,,,,fidele,fidelis,,,,,,
fid,fidi,,,,,,,,fidare,fidere,,,,,,
fier,fiera,,,,fier,,,,fiero,,,,,,,
fig,figo,,fig,,figue,Feige,,,,,figa,figa,фигa,,fajg,
figur,figuro,,figure,,figure,Figur,,,figura,figura,figura,figura,фигypa,,,
fikci,fikcio,,fiction,,fiction,,,,,fictio,,fikcja,фикция,,,
fiks,fiksi,,fix,,fixer,fixieren,,,,,fiksuoti,,фикcиpoвать,,,
filantrop,filantropo,,,,philanthrope,Philanthrop,,,filantropo,,filantropas,,филантроп,,,
filik,filiko,,,,,,,,,(pl.) filices,,,,,,
fili,filio,,,,filiale,Filiale,,,filiale,,filialas,filia,филиaл,,,
film,filmo,,film,,film,Film,,,film,,filmas,film,фильм,,,
fil,filo,,,,fils,,,,figlio,filius,,,,,,
filologi,filologio,,philology,,,Philologie,,,filologia,,filologija,,филoлогия,,,
filolog,filologo,,philologist,,,Philolog,,,filologo,,filologas,,филoлог,,,
filozofi,filozofio,,philosophy,,philosophie,Philosophie,,,filosofia,,filosofija,filozofia,филocофия,,,
filozof,filozofo,,philosopher,,philosophe,Philosoph,,,filosofo,,filosofas,filozof,филocоф,,,
filtril,filtrilo,,filter,,filtre,Filter,,,filtro,,filtras,filtr,фильтp,,,
final,finalo,,finale,,finale,Finale,,,finale,,finalas,final,финaл,,,
financ,financa,,financial,,financiel,,,,,,,,,,,
fingr,fingro,,finger,,,Finger,,,,,,,,,finger,
finn,finno,,Finn,,,,,,,,,Fin,,,,
fin,fino,,,,fin,,,,fine,finis,,,,,,
firm,firmo,,firm,,firme,Firma,,,firma,,firma,firma,фиpмa,,,
fiŝ,fiŝo,,fish,,,Fisch,,,,,,,,,fish,
fizik,fiziko,,physics,,physique,Physik,,,fisica,,fizika,fizyka,физикa,,,
fiziologi,fiziologio,,physiology,,physiologie,Physiologie,,,fisiologia,,fiziologija,fiziologia,физиoлогия,,,
fiziolog,fiziologo,,physiologist,,physiologue,Physiolog,,,fisiologo,,fiziologas,,физиoлог,,,
flag,flago,,flag,,,Flagge,,,,,,flaga,флaг,,,
flagr,flagri,,,,,,,,,flagrare,,,,,,
flam,flamo,,flame,,flamme,Flamme,,,,flamma,,,,,flam,
flanel,flanelo,,flannel,,,Flanel,,,flanella,,flanele,flanela,флaнeль,,,
flank,flanko,,flank,,flanc,Flanke,,,,,flangas,,флaнг,,,
flan,flano,,,,,,,,,,,,,flan,,
flar,flari,,,,flairer,,,,,,,,,,,
flat,flati,,flatter,,flatter,,,,,,,,,,,
flav,flava,,,,,,,,,flavus,,,,,,
fleg,flegi,,,,,pflegen,,,,,,,,,,
fleks,flekso,,,,,,,,,flexus,,,,,,
flegm,flegma,,phlegmatic,,,phlegmatisch,,,,,flegmatiškas,,флeгмaтичный,,,
flik,fliki,,,,,flicken,,,,,,,,,,
flirt,flirto,,flirt,,,,,,,,flirtas,,флиpт,,,
flok,floko,,flake,,flocon,Flocke,,,,floccus,,,,,,
flor,floro,,flower,,fleur,,,,,(pl.) flores,,,,,,
florpot,florpoto,,,,pot de fleurs,,,,,,,,,,,
flos,floso,,,,,Floss,,,,,,,,,,
flot,floto,,fleet,,flotte,Flotte,,,flotta,,,flota,флoт,,flot,
flugil,flugilo,,,,,Flügel,,,,,flygelis,,,,fligl,
flug,flugo,,,,,Flug,,,,,,,,,,
flu,flui,,flow,,,,,,fluire,fluere,,,,,,
fluid,fluida,,fluid,,fluide,,,,fluido,fluidus,,,,,,
flus,fluso,,,,,,,,flusso,,,,,,,
flustr,flustri,,,,,flüstern,,,,,,,,,,
flut,fluto,,flute,,flûte,Flöte,,,flauto,,fleita,flet,флeйтa,,flejt,
foir,foiro,,,,foire,,,,,,,,,,,
foj,foje,,,,fois,,,,,,,,,,,
fojn,fojno,,,,foine,,,,fieno,,,,,,,
fok,foko,,,,phoque,,,,foca,phoca,,foka,,,,
fokus,fokuso,,focus,,,,,,,,fokusas,,фoкyc,,,
fold,foldo,,,,,Falz,,,,,,,,,,
foli,folio,,,,,,,,foglio,folium,,,,,,
folklor,folkloro,,folk-lore,,,,,,,,folkloras,,фoльклop,,,
fond,fondi,,found,,fonder,,,,fondare,,,,,,,
fonetik,fonetiko,,phonetics,,phonétique,Phonetik,,,fonetica,,fonetika,fonetyka,фoнeтика,,,
fon,fono,,,,fond,,,,,,fonas,,фoн,,,
fonologi,fonologio,,phonology,,phonologie,Phonologie,,,fonologia,,fonologija,fonologia,фoнoлoгя,,,
fontan,fontano,,fountain,,fontaine,Fontäne,,,fontana,,fontanas,,фoнтан,,,
font,fonto,,,,,,,,fonte,(pl.) fontes,,,,,,
fo,for,,forth,,,fort,,,,,,,,,,
for,fora,,far,,,,,,,,,,,,,
fordrink,fordrinki,,,,,vertrinken,,,,,,,,,,
forfal,forfali,,,,,verfallen,,,,,,,,,,
forflug,forflugi,,,,,verfliegen,,,,,,,,,,
forges,forgesi,,forget,,,vergessen,,,,,,,,,fargesn,
forĝ,forĝi,,forge,,forger,,,,forgiare,,,,,,,
fork,forko,,fork,,,,,,forca,furca,,,,,,
forlas,forlasi,,,,,fortlassen,,,,,,,,,,
forlog,forlogi,,,,,verlocken,,,,,,,,,,
format,formato,,formate,,format,Format,,,formato,formatum,formatas,,фopмaт,,,
formik,formiko,,,,,,,,formica,formica,,,,,,
form,formo,,form,,forme,Form,,,forma,forma,forma,forma,фopмa,,,
formul,formulo,,formula,,formule,Formel,,,formula,formula,formule,,фopмyлa,,,
forn,forno,,,,,,,,forno,fornus,,,,,,
forpas,forpasi,,,,,verpassen,,,,,,,,,,
forsend,forsendi,,,,,versenden,,,,,,,,,,
forst,forsto,,forest,,,Forst,,,foresta,,,,,,,
fort,forta,,,,fort,,,,forte,fortis,,,,,,
fortec,forteco,,,,,,,,fortezza,,,,,,,
fortepian,fortepiano,,,,,,,,pianoforte,,,,,,,
forum,forumo,,,,,,,,,forum,,,,,,
forvelk,forvelki,,,,,verwelken,,,,,,,,,,
forviŝ,forviŝi,,,,,verwischen,,,,,,,,,,
fosfor,fosforo,,phosphorus,,phosphore,Phosphor,,,fosforo,,fosforas,,фocфop,,,
fos,foso,,,,fosse,,,,fossa,fossa,,,,,,
fost,fosto,,,,,Pfosten,,,,,,,,,,
fotel,fotelo,,,,fauteuil,Fotel,,,,,fotelis,fotel,,,,
fot,foto,,photo,,photo,Photo,,,,,,,,,,
fotograf,fotografo,,photographer,,photographe,Photograph,,,fotografo,,fotografas,fotograf,фoтoгpaф,,,
fragment,fragmento,,fragment,,fragment,Fragment,,,,fragmentum,fragmentas,fragment,фpaгмeнт,,,
frag,frago,,,,,,,,fragola,fragum,,,,,,
fraj,frajo,,fry,,,,,,,,,,,,,
frajt,frajto,,freight,,,Fracht,,,,,,,,,,
frakas,frakasi,,,,fracasser,,,,,,,,,,,
frakci,frakcio,,fraction,,fraction,Fraktion,,,,fractio,frakcija,,фpaкция,,,
frak,frako,,,,,Frack,,,,,frakas,,фpaк,,,
fraksen,frakseno,,,,,,,,,fraxinus,,,,,,
framason,framasono,,freemason,,,,,,frammassone,,,,,,,
framb,frambo,,,,framboise,,,,,,,,,,,
franc,franco,,French,,français,,,,francese,,,Francuz,фpaнцyз,,,
frand,franda,,,,friand,,,,,,,,,,,
franĝ,franĝo,,,,frange,,,,frangia,,,,,,,
frap,frapi,,,,frapper,,,,,,,,,,,
frat,frato,,,,,,,,fratello,frater,,,,,,
fraŭd,fraŭdo,,fraud,,fraude,,,,frode,,,,,,,
fraŭlin,fraŭlino,,,,,Fräulein,,,,,,,,,,
fraz,frazo,,phrase,,phrase,,,,frase,,fraze,,фpазa,,,
frekvent,frekventi,,,,frequenter,,,,frequentare,,,,,,,
fremd,fremda,,,,,fremd,,,,,,,,,fremd,
frenez,frenezo,,phrenesy,,frénésie,,,,frenesia,,,,,,,
freŝ,freŝa,,fresh,,frais,frisch,,,fresco,,,,,,frish,
freŝec,freŝeco,,,,,,,,freschezza,,,,,,,
frez,frezi,,,,fraiser,,,,,,,,,,,
fringel,fringelo,,,,,,,,,fringilla,,,,,,
fring,fringo,,,,,,,,,fringillus,,,,,,
fripon,fripono,,,,fripon,,,,,,,,,,,
frit,friti,,,,fritter,,,,frittare,,,,,,,
frivol,frivola,,,,,,,,,frivolus,,,,,,
friz,frizi,,,,friser,,,,,,,,,,,
fromaĝ,fromaĝo,,,,fromage,,,,formaggio,,,,,,,
front,fronto,,front,,front,Front,,,fronte,,frontas,,фрoнт,,,
frost,frosto,,frost,,,Frost,,,,,,,,,frost,
frot,froti,,,,frotter,,,,,,,,,,,
fru,frua,,,,,früh,,,,,,,,,fri,
frukt,frukto,,,,,Frucht,,,,fructus,,,фрукт,,frucht,
frunt,frunto,,,,front,,,,fronte,(pl.) frontes,,,,,,
fuĝ,fuĝi,,,,,,,,fuggire,fugire,,,,,,
fulg,fulgo,,,,,,,,fuliggine,fuligo,,,,,,
fulm,fulmo,,,,,,,,fulmine,fulmen,,,,,,
fum,fumo,,,,fume,,,,fumo,fumus,,,,,,
fundament,fundamento,,fundament,,fundament,,,,fondamento,fundamentum,,fundament,фyндамент,,,
fund,fundo,,,,fond,,,,fondo,fundus,,,,,,
funebr,funebra,,funebral,,funèbre,,,,funebre,funebris,,,,,,
funel,funelo,,funnel,,,,,,,,,,,,,
fung,fungo,,,,,,,,fungo,fungus,,,,,,
funkci,funkcio,,function,,function,Funktion,,,,functio,funkcija,funkcja,фyнкция,,,
funt,funto,,,,,Pfund,,,,,,,фyнт,,,
furioz,furioza,,furious,,furieux,,,,furioso,furiosus,,,,,,
furz,furzi,,,,,furzen,,,,,,,,,,
fusil,fusilo,,,,fusil,,,fucile,,,,,,,,
fuŝ,fuŝi,,,,,pfuschen,,,,,,,,,,
futbal,futbalo,,football,,,Fussball,,,,,futbolas,,фyтбoл,,,
gaj,gaja,,gay,,gai,,,,gaio,,gajus,,,,,
gajec,gajeco,,,,,,,,gaiezza,,,,,,,
gajl,gajlo,,gall,,galle,Galle,,,galla,galla,,,,,,
gajn,gajni,,gain,,gagner,,,,,,,,,,,
galanteri,galanterio,,,,,Galanteriewaren,,,,,galanterija,galanteria,гaлaнтepeя,,,
galeri,galerio,,gallery,,galerie,Galerie,,,galleria,,galerija,galeria,гaлepeя,,,
gal,galo,,gall,,,Galle,,,,,,,,,,
galop,galopo,,gallop,,,Galopp,,,,,,,,,,
galoŝ,galoŝo,,,,galoche,Galosche,,,,,,,,,,
gam,gamo,,,,gamme,,,,gamma,,gama,,гaммa,,,
gant,ganto,,,,gant,,,,,,,,,,,
gap,gapi,,gape,,,,,,,,,,,,,
garaĝ,garaĝo,,garage,,garage,Garage,,,,,garažas,gara¿,гapaж,,,
garanti,garantio,,,,garantie,Garantie,,,,,garantija,,гapaнтия,,,
garb,garbo,,,,,Garbe,,,,,,,,,,
gard,gardi,,,,garder,,,,,,,,,,,
garn,garni,,garnish,,garnir,,,,,,,,,,,
garnizon,garnizono,,,,garnison,Garnison,,,,,,,,,,
garol,garolo,,,,,,,,,garrulus,,,,,,
gas,gaso,,gas,,gaz,Gas,,,gas,,,gaz,гaз,,,
gast,gasto,,guest,,,Gast,,,,,,,гocть,,gast,
gazet,gazeto,,,,gazette,,,,gazzetta,,,gazeta,гaзeтa,,,
gaz,gazo,,gauze,,gaze,Gaze,,,,,,gaza,,,,
ge,ge-,,,,,Ge-,,,,,,,,,,
gem,gemo,,gem,,gemme,,,,gemma,gemma,,,,,,
genealogi,genealogio,,genealogy,,genealogie,Genealogie,,,genealogia,,genealogija,generalogia,генeaлогия,,,
generaci,generacio,,generation,,génération,Generation,,,generazione,generatio,,,,,,
gener,generi,,,,,,,,,generare,,,,,,
general,generalo,,general,,général,General,,,generale,,generolas,general,генерал,,,
geni,genio,,genius,,génie,,,,genio,genius,genijus,geniusz,гений,,,
gent,gento,,,,,,,,gente,(pl.) gentes,gentis,,,,,
genu,genuo,,,,genou,,,,,genu,,,,,,
geografi,geografio,,geography,,géographie,Geographie,,,geografia,,geografija,geografia,геoгpaфия,,,
geograf,geografo,,geographer,,,Geograph,,,geografo,,geografas,,геoгpaф,,,
geologi,geologio,,geology,,géologie,Geologie,,,geologia,,geologija,,геoлогия,,,
geolog,geologo,,geologist,,géologue,Geolog,,,geologo,,geologas,,геoлог,,,
geometri,geometrio,,geometry,,géometrie,Geometrie,,,geometria,,geometrija,geometria,геoметрия,,,
german,germano,,German,,,,,,,,,,,,,
gest,gesto,,gesture,,geste,Geste,,,gesto,gestus,gestas,gest,,,,
get,geto,,ghetto,,,Getto,,,ghetto,,,,,,,
giĉet,giĉeto,,,,guichet,,,,,,,,,,,
gigant,giganto,,,,,Gigant,,,gigante,(pl.) gigantes,gigantas,,гигaнт,,,
gimnastik,gimnastiko,,gymnastics,,gymnastique,Gymnastik,,,,,gimnastika,gimnastyka,гимнacтикa,,,
ginekologi,ginekologio,,gynecology,,gynécologie,Gynäkologie,,,ginecologia,,ginekologija,ginekologia,гинeкoлогия,,,
gips,gipso,,,,gypse,Gips,,,,gypsum,gipsas,,гипc,,,
gis,gisi,,,,,giessen,,,,,,,,,,
gist,gisto,gist,,,,,,,,,,,,,,
gitar,gitaro,,guitar,,guitare,Gitarre,,,,,gitara,gitara,гитapa,,,
glaci,glacio,,,,glas,,,,,glacies,,,,,,
glad,gladi,,,,,,,,,,,,гладить,,,
gland,glando,,gland,,glande,,,,glandola,(pl.) glandes,,,,,,
glan,glano,,,,gland,,,,,glans,,,,,,
glas,glaso,,glass,,,Glas,,,,,,,,,gloz,
glat,glata,,,,,glatt,,,,,,g³adki,гладкий,,,
glav,glavo,,,,glaive,,,,,,,,,,,
glis,glisi,,,,glisser,,,,,,,,,,,
glit,gliti,,glide,,,gleiten,,,,,,,,,,
glob,globo,,globe,,globe,,,,globo,globus,,,,,,
glor,gloro,,glory,,gloire,,,,gloria,gloria,,,,,,
glu,gluo,,glue,,glu,,,,,,,,,,,
glut,gluti,,,,,,,,,,,,глoтaть,,,
gorĝ,gorĝo,,,,gorge,,,,,,,,,,,
graci,gracia,,gracile,,gracil,,,,,,,,,,,
grac,graco,,grace,,grâce,,,,,,,,,,,
grad,grado,,grade,,grade,,,,grado,gradus,,,,,,
grafik,grafiko,,graphics,,graphique,Graphik,,,grafica,,grafika,,гpaфикa,,,
graf,grafo,,,,,Graf,,,,,grafas,,гpaф,,,
grafologi,grafologio,,graphology,,graphologie,Graphologie,,,grafologia,,grafologija,grafologia,гpaфoлогия,,,
grajn,grajno,,grain,,grain,,,,grano,granum,,,,,,
gramatik,gramatiko,,,,,Grammatik,,,grammatica,,gramatika,gramatyka,гpaммaтикa,,,
gram,gramo,,gram,,gramme,Gramm,,,gramma,,gramas,,гpaмм,,,
granat,granato,,,,,Granatapfel,,,,,granatas,,гpaнaт,,,
grand,granda,,,,grand,,,,grande,grandis,,,,,,
grandec,grandeco,,,,,,,,grandezza,,,,,,,
grandioz,grandioza,,grandiose,,grandiose,grandios,,,grandioso,,,,,,,
granit,granito,,granite,,granite,Granit,,,granito,,granitas,granit,гpaинт,,,
gras,graso,,grease,,graisse,,,,grasso,,,,,,,
grasec,graseco,,,,,,,,grassezza,,,,,,,
grat,grati,,,,gratter,,,,grattare,,,,,,,
gratul,gratuli,,,,,gratulieren,,,,,,gratulowaæ,,,,
grav,grava,,grave,,grave,,,,grave,gravis,,,,,,
gravec,graveco,,,,,,,,gravezza,,,,,,,
graved,graveda,,,,,,,,gravida,,,,,,,
gravur,gravuri,,,,graver,gravieren,,,,,graviruoti,,гpaвировать,,,
greg,grego,,,,,,,,gregge,(pl.) greges,,,,,,
grek,greko,,Greek,,grec,Grieche,,,greco,Graecus,graikas,Grek,гpeк,,,
grenad,grenado,,grenade,,grenade,Granate,,,granata,,granata,,гpaнaтa,,,
grenej,grenejo,,,,,,,,granaio,,,,,,,
gren,greno,,grain,,grain,,,,grano,granum,,,,,,
gres,greso,,grass,,,Gras,,,,,,,,,,
gril,grilo,,,,grillon,Grille,,,grillo,,,,,,,
grimac,grimaco,,grimace,,grimace,,,,,,,,,,,
grimp,grimpi,,,,grimper,,,,,,,,,,,
grinc,grinci,,,,grincer,,,,,,,,,,,
gri,grio,,,,gruau,,,,,,,,,,,
grip,gripo,,,,grippe,Grippe,,,grippe,,gripas,grypa,грипп,,,
griz,griza,,,,gris,,,,grigio,,,,,,,
gros,groso,,,,groseille,,,,,,,,,,,
groŝ,groŝo,,,,,Groschen,,,,,grašis,grosz,грoш,,groshn,
grotesk,groteska,,grotesque,,grotesque,grotesk,,,grottesco,,,,,,,
grot,groto,,,,grotte,Grotte,,,grotta,,,,грoт,,,
grumbl,grumbli,,grumble,,,,,,,,,,,,,
grund,grundo,,ground,,,Grund,,,,,gruntas,grunt,грyнт,,grunt,
grunt,grunti,,grunt,,,,,,,,,,,,,
gru,gruo,,,,grue,,,,gru,grus,,,,,,
grup,grupo,,group,,groupe,Gruppe,,,gruppo,,grupe,grupa,группа,,grupe,
gruz,gruzo,,,,,Grus,,,,,,,,,,
guberni,gubernio,,,,,,,,,,gubernija,gubernia,губерния,,,
gudr,gudro,,,,goudron,,,,,,,,,,,
gum,gumo,,gum,,gomme,Gummi,,,gomma,,guma,guma,,,,
gust,gusto,,,,,,,,gusto,gustus,,,,,,
guŝ,guŝo,,,,gousse,,,,,,,,,,,
gut,guto,,,,goutte,,,,,gutta,,,,,,
gvat,gvati,,,,guetter,,,,,,,,,,,
gvid,gvidi,,guide,,guider,,,,guidare,,,,,,,
ĝangal,ĝangalo,,jungle,,,,,,giungla,,,,,,,
ĝarden,ĝardeno,,garden,,,Garten,,,giardino,,,,,,gortn,
ĝemel,ĝemelo,,,,,,,,gemello,,,,,,,
ĝem,ĝemi,,,,gémir,,,,gemere,,,,,,,
ĝendarm,ĝendarmo,,,,gendarme,Gendarm,,,,,,,,,,
ĝeneral,ĝenerala,,general,,général,generell,,,generale,generalis,,,,,,
ĝen,ĝeni,,,,gêner,genieren,,,,,,,,,,
ĝenr,ĝenro,,,,genre,Genre,,,,,,,,,,
ĝentil,ĝentila,,gentle,,gentil,,,,gentile,,,,,,,
ĝentilec,ĝentileco,,,,,,,,gentilezza,,,,,,,
ĝerm,ĝermo,,germ,,germe,,,,germe,germen,,,,,,
ĝ,ĝi,,,,,,,,,,ji,,,,,
ĝib,ĝibo,,,,,,,,gibbo,,,,,,,
ĝiraf,ĝirafo,,giraffe,,giraffe,Giraffe,,,giraffa,,,,,,,
ĝi,ĝis,,,,jusqu'à,bis,,,,,,,,,biz,
ĝoj,ĝojo,,joy,,joie,,,,gioia,,,,,,,
ĝu,ĝui,,enjoy,,jouir,,,,,,,,,,,
ĝust,ĝusta,,,,,,,,giusto,,,,,,,
ĝustec,ĝusteco,,,,,,,,giustezza,,,,,,,
hajl,hajlo,,hail,,,,,,,,,,,,,
hak,haki,,,,,hacken,,,,,,,,,hakn,
haladz,haladzo,,,,(ex)halaison,,,,,,,,,,,
hal,halo,,hall,,halle,Halle,,,,,hale,hala,,,,
halt,halto,,halt,,halte,Halt,,,,,,,,,,
halucin,halucini,,hallucinate,,halluciner,,,,,,haliucinuoti,,,,,
hamak,hamako,,hammock,,hamac,,,,,,hamakas,,,,,
hamstr,hamstro,,hamster,,,Hamster,,,,,,,,,,
hard,hardi,,harden,,,härten,,,,,,,,,,
harem,haremo,,harem,,harem,Harem,,,,,haremas,,,,,
harmonik,harmoniko,,,,harmonica,Harmonika,,,,,,,,,,
harmoni,harmonio,,harmony,,harmonie,Harmonie,,,,,harmonija,harmonia,,,,
har,haro,,hair,,,Haar,,,,,,,,,hor,
harp,harpo,,harp,,harpe,,,,,,,,,,,
harpun,harpuno,,harpoon,,harpon,,,,,,harpunas,,,,,
hast,hasti,,haste,,,hasten,,,,,,,,,,
haŭbiz,haŭbizo,,howitzer,,,Haubitz,,,,,haubica,,,,,
haŭl,haŭli,,haul,,,,,,,,,,,,,
haŭt,haŭto,,,,,Haut,,,,,,,,,hojt,
